Time,Number of players,Total bets,Multiplier(Crash),Total gains,L

18:11,13455,5764532.07 DZDM,1.6,542358.9 DZDM,1371157
18:12,12502,5689472.76 DZDM,3.53,9279324.91 DZDM,1371160
18:12,13646,5471897.32 DZDM,1.16,98673.14 DZDM,1371165
18:12,12389,5040068.32 DZDM,1.95,1433298.13 DZDM,1371167
18:13,13389,5796998.48 DZDM,1.07,0 DZDM,1371170
18:13,12559,5905955.93 DZDM,4.98,11531191.57 DZDM,1371173
18:14,13410,5346066.14 DZDM,3.62,7817680.77 DZDM,1371176
18:14,12646,4906875.24 DZDM,6.52,11407062.38 DZDM,1371179
18:15,12455,4429051.49 DZDM,6.76,12015478.75 DZDM,1371184
18:15,12674,4372493.35 DZDM,1.23,162220.83 DZDM,1371186
18:16,10558,4005299.59 DZDM,30.36,11062319.91 DZDM,1371189
18:16,12974,4666670.09 DZDM,1.23,199500.22 DZDM,1371194
18:17,11558,4477470.54 DZDM,1.55,537442.1 DZDM,1371197
18:17,11911,5110941.79 DZDM,1.02,0 DZDM,1371200
18:17,12641,5676222.63 DZDM,1.06,0 DZDM,1371203
18:17,11683,5775045.47 DZDM,1.25,206007.15 DZDM,1371205
18:18,11675,5678955.56 DZDM,1.1,0 DZDM,1371208
18:18,11038,5671500.25 DZDM,3.72,8562686.66 DZDM,1371211
18:19,13544,5816992.08 DZDM,4.47,11571907.34 DZDM,1371214
18:19,13159,5303933.17 DZDM,2,1404813.09 DZDM,1371218
18:19,12063,4783936.04 DZDM,1.51,421565.63 DZDM,1371220
18:20,11632,5199970.85 DZDM,1.04,0 DZDM,1371223
18:20,11271,5357649.68 DZDM,12.48,17951546.34 DZDM,1371226
18:21,13531,5589437.84 DZDM,14.19,21042616.48 DZDM,1371231
18:21,12490,4921141.51 DZDM,2.07,1376269.4 DZDM,1371235
18:22,10501,3935718.1 DZDM,1.34,375836.52 DZDM,1371238
18:22,9753,4236441.56 DZDM,2.1,1226227.08 DZDM,1371241
18:22,12279,5430613.39 DZDM,1.77,1150223.62 DZDM,1371244
18:23,12037,5146456.77 DZDM,2.16,1694120.96 DZDM,1371247
18:23,12710,5557865.64 DZDM,5.3,11432906 DZDM,1371250
18:24,13428,5090834.22 DZDM,4.93,11058375.78 DZDM,1371254
18:24,12722,4675697.64 DZDM,1.25,176876.98 DZDM,1371258
